Cluster,Features,K_Neighbors,NH_Original,NH_TSNE_P5,NH_TSNE_P15,NH_TSNE_P20,NH_TSNE_P50,NH_TSNE_P90
1,2,20,1.0,1.0,1.0,1.0,1.0,1.0
1,7,20,1.0,1.0,1.0,1.0,1.0,1.0
1,12,20,1.0,1.0,1.0,1.0,1.0,1.0
1,17,20,1.0,1.0,1.0,1.0,1.0,1.0
1,22,20,1.0,1.0,1.0,1.0,1.0,1.0
1,27,20,1.0,1.0,1.0,1.0,1.0,1.0
1,32,20,1.0,1.0,1.0,1.0,1.0,1.0
1,37,20,1.0,1.0,1.0,1.0,1.0,1.0
1,42,20,1.0,1.0,1.0,1.0,1.0,1.0
1,47,20,1.0,1.0,1.0,1.0,1.0,1.0
1,50,20,1.0,1.0,1.0,1.0,1.0,1.0
1,60,20,1.0,1.0,1.0,1.0,1.0,1.0
1,70,20,1.0,1.0,1.0,1.0,1.0,1.0
1,80,20,1.0,1.0,1.0,1.0,1.0,1.0
1,90,20,1.0,1.0,1.0,1.0,1.0,1.0
1,100,20,1.0,1.0,1.0,1.0,1.0,1.0
