TSNE_Dim_1,TSNE_Dim_2,Cluster_Label
-13.921857,-15.545074,1
-16.131538,22.190567,1
-34.964146,-22.953903,1
23.093075,9.924131,0
-38.752213,11.772087,1
30.232672,-20.828857,0
40.42919,0.6946755,0
31.432259,0.67239237,0
29.77213,10.141535,0
-42.84922,-17.820238,1
30.078985,-18.154678,0
-37.580524,-1.6326628,1
-36.439632,-0.12242804,1
24.666862,-21.79214,0
-34.45316,12.188463,1
21.43288,1.0423058,0
-43.97219,-16.918726,1
-20.110308,11.242139,1
-25.531805,12.386945,1
43.921104,-0.38399822,0
13.953548,-4.3307753,0
28.28235,-15.565155,0
23.265087,14.334697,0
31.721338,-4.360946,0
-20.034042,-9.958728,1
41.79482,18.503874,0
-45.410423,-3.5602129,1
-13.11754,-8.970002,1
-23.242214,0.026169762,1
24.390274,-12.878176,0
-28.684113,4.770763,1
33.08933,-13.939443,0
12.604934,-2.2813325,0
40.78775,-0.97450143,0
-44.57156,-28.028759,1
38.804592,-0.65286136,0
-32.00842,14.9456625,1
-54.1413,-8.56522,1
-52.273872,-17.56319,1
-26.282682,5.0948763,1
-37.32602,23.888063,1
-56.571404,-4.2908974,1
-30.14977,2.9361904,1
-24.682938,20.145409,1
44.718822,28.19044,0
-48.569878,6.613256,1
-24.202127,12.820362,1
41.678856,0.86748075,0
36.13397,11.1131735,0
57.577934,-5.2613573,0
-22.116537,-4.278682,1
25.180674,5.251948,0
-46.84181,-20.364893,1
-44.692596,-1.2528082,1
-23.426716,17.321753,1
-19.897646,19.830305,1
-36.061775,-2.5776372,1
-34.155354,3.9617212,1
-14.9739,26.400259,1
-38.54811,-13.442923,1
41.118996,11.8431225,0
42.23276,-15.46189,0
-28.31486,-23.632048,1
43.097843,-2.5584612,0
-57.026474,-2.426576,1
56.729626,0.6159877,0
47.777885,-4.7643695,0
26.75429,-13.213959,0
46.03445,-5.779811,0
18.32543,7.127068,0
-9.7185335,8.807091,1
-18.890318,3.9090915,1
-39.583595,8.184131,1
-20.899275,-21.095432,1
-52.248573,-9.631258,1
21.008888,-17.4018,0
-19.270233,-8.985151,1
-34.719612,-0.65214396,1
49.792343,7.031679,0
-22.858528,-0.9423848,1
52.660934,9.597217,0
32.508087,1.643584,0
4.044994,-3.4907212,0
-4.6182847,5.884593,1
40.69203,5.6024866,0
-36.069218,-8.05336,1
-44.541286,-4.912261,1
37.935596,14.24497,0
-28.76901,-10.00573,1
31.937641,6.917926,0
12.196983,-11.2372055,0
23.757273,16.004438,0
-30.215775,-11.61836,1
36.27133,2.0656612,0
49.612286,-12.319713,0
45.376842,23.174013,0
17.85193,6.0338583,0
-48.277718,-4.8566656,1
-56.198605,0.755345,1
-30.7054,-13.152416,1
-8.745845,12.241272,1
-22.906532,-8.784768,1
-41.687607,-9.239207,1
30.58978,8.392901,0
54.96352,-14.927732,0
42.028423,6.1044903,0
-30.450073,-15.644264,1
33.041332,4.4450765,0
-35.742878,23.8314,1
-23.61698,4.2092586,1
20.660416,3.0643654,0
28.990719,14.714044,0
25.250355,-17.776754,0
32.750988,16.97895,0
-43.62879,11.278207,1
46.467903,4.3818793,0
-46.564938,-16.152863,1
-49.13287,2.5116885,1
15.083446,-3.529042,0
-15.068363,-13.980302,1
-47.812496,-13.393989,1
28.132286,3.6915145,0
58.945103,-8.233303,0
-40.47919,3.035673,1
-26.408922,-20.699911,1
55.58712,-2.6695056,0
-49.29315,-4.734166,1
-32.2902,7.073845,1
32.16693,-4.553424,0
39.56068,-1.3428307,0
-38.295033,-19.204742,1
24.921106,7.825088,0
-39.209923,1.1282698,1
-21.504244,1.8922772,1
-26.448631,-3.703544,1
-21.360992,-9.13439,1
-32.879536,1.0184724,1
-31.797832,14.104704,1
38.97725,-7.11055,0
21.379406,13.490767,0
-36.52678,0.12957372,1
-24.899187,23.475304,1
-30.804207,18.72296,1
-18.76171,-20.462383,1
36.23095,-7.561344,0
-8.377067,8.173441,1
-45.85723,9.829076,1
25.124912,-5.215844,0
37.662617,12.558204,0
-27.948841,-15.486829,1
43.23539,-4.848069,0
-34.33435,12.130542,1
56.517864,-5.8127136,0
18.963392,-7.220485,0
13.324127,13.795472,0
-20.127865,11.212265,1
-20.790686,-15.671136,1
-44.117085,-14.002938,1
-23.04089,13.071605,1
8.197319,2.6652846,0
-42.385403,-2.0104923,1
15.578216,18.908413,0
-9.681505,-6.6665664,1
-33.985916,-8.113051,1
37.263607,4.116643,0
15.705019,-26.3728,0
-15.877267,7.6263804,1
46.437225,4.0764055,0
41.52186,3.0503469,0
-25.147648,8.108659,1
-38.289707,13.420719,1
-18.068443,-0.26500708,1
-6.7745,-20.731943,1
59.777653,8.419473,0
14.20246,-0.7438131,0
12.868666,8.411698,0
-22.875639,-11.4112215,1
-48.144844,-15.964492,1
-39.058113,-16.119314,1
-50.081264,-13.798157,1
32.511974,-5.5718217,0
-22.140669,-2.789011,1
-28.188734,-13.388918,1
8.196478,-8.141267,0
-26.59748,7.017432,1
20.58068,-7.8463373,0
53.22641,-11.734974,0
-52.385265,13.209418,1
36.13617,3.8753703,0
21.999334,-8.357317,0
37.990513,25.011787,0
18.459846,15.704136,0
35.09226,14.553951,0
45.328136,-6.228735,0
-16.987595,17.95411,1
-32.151566,0.44477582,1
-48.85683,1.0164359,1
28.043636,-15.28226,0
11.388317,-6.3937864,0
-31.491081,-23.958075,1
42.343082,20.407087,0
-34.213356,14.38055,1
49.813705,-10.239118,0
24.958576,-11.925009,0
-21.740587,-15.332698,1
-34.945473,-18.039421,1
10.613107,-15.833871,0
-40.80476,-15.598935,1
-10.58061,-13.832757,1
-25.940273,12.783436,1
-18.083517,20.31731,1
-23.564062,-7.5633106,1
-27.999615,0.7175728,1
19.02289,9.167711,0
-35.19216,-29.82386,1
-18.902504,4.1306367,1
21.678204,21.723942,0
35.308548,25.8484,0
-33.829327,-19.85696,1
-40.17658,6.2630763,1
15.036765,-6.677422,0
-23.08442,7.1374555,1
38.09601,9.100673,0
-31.866049,-10.581792,1
-34.262955,5.0601716,1
27.592457,9.265438,0
-47.6113,-1.3773521,1
-18.09913,-8.940397,1
10.877918,-15.935776,0
24.039644,15.6616125,0
38.110115,-4.7627144,0
-29.051758,-14.35208,1
-31.225876,8.1887455,1
50.229977,5.4416003,0
-42.33438,10.422956,1
14.492308,-16.762283,0
-32.54206,-26.447975,1
12.854113,-2.151908,0
47.631905,1.2617395,0
17.819817,-2.124661,0
14.991492,-8.863246,0
-30.813374,-16.092857,1
-16.487568,-19.818975,1
-16.117826,4.4472117,1
26.388248,-5.492308,0
-31.154955,12.0860195,1
33.431515,-2.2785,0
-44.859432,6.9657493,1
19.17977,-27.047424,0
15.773362,-9.98536,0
-45.429005,19.28777,1
-30.477758,20.892092,1
34.67382,11.243184,0
28.573744,5.64477,0
-26.785593,-17.876198,1
-24.913988,13.825107,1
-47.537186,6.713434,1
-41.30961,-14.244007,1
-25.272974,-14.404033,1
25.990192,-23.33561,0
14.963156,12.403399,0
-28.320017,-17.512342,1
-18.199324,-12.211706,1
-45.27444,7.2465553,1
-19.498272,-5.864206,1
29.869492,-23.838373,0
-24.328068,-24.346928,1
-54.171043,-12.448272,1
17.436663,20.188292,0
-43.84017,-5.71387,1
-52.96334,18.417824,1
-29.838394,-6.3896294,1
37.104588,11.229981,0
20.717129,10.285994,0
26.925753,1.3344017,0
-13.757705,-6.528987,1
24.842356,2.2412326,0
10.436734,19.440453,0
-36.032257,4.0783925,1
18.192392,5.3181424,0
-31.142775,-14.420868,1
-52.385784,-16.22052,1
-27.614265,-2.182113,1
-34.92208,12.100857,1
31.171373,18.226784,0
-26.546227,18.338457,1
-38.103886,17.042662,1
-36.844162,-9.123294,1
-16.84423,9.564024,1
-26.070826,1.9993174,1
26.34185,-16.076532,0
39.184982,18.916676,0
-37.906048,1.9060029,1
32.159374,-16.271055,0
