Cluster,Features,K_Neighbors,NH_Original,NH_TSNE_P5,NH_TSNE_P15,NH_TSNE_P20,NH_TSNE_P50,NH_TSNE_P90
5,2,20,0.99035,0.9757899999999999,0.9897199999999999,0.9899800000000001,0.99,0.9902599999999999
5,7,20,0.9998100000000001,0.9983299999999999,0.99961,0.99969,0.9997199999999999,0.99975
5,12,20,1.0,0.9967599999999999,1.0,1.0,1.0,1.0
5,17,20,1.0,0.99724,1.0,1.0,1.0,1.0
5,22,20,1.0,0.99719,1.0,1.0,1.0,1.0
5,27,20,1.0,0.99863,1.0,1.0,1.0,1.0
5,32,20,1.0,0.9985099999999999,1.0,1.0,1.0,1.0
5,37,20,1.0,0.99921,1.0,1.0,1.0,1.0
5,42,20,1.0,0.9990399999999999,1.0,1.0,1.0,1.0
5,47,20,1.0,0.99931,1.0,1.0,1.0,1.0
5,50,20,1.0,0.99889,1.0,1.0,1.0,1.0
5,60,20,1.0,0.9994400000000001,1.0,1.0,1.0,1.0
5,70,20,1.0,0.9988400000000001,1.0,1.0,1.0,1.0
5,80,20,1.0,0.99954,1.0,1.0,1.0,1.0
5,90,20,1.0,0.9994799999999999,1.0,1.0,1.0,1.0
5,100,20,1.0,0.9995100000000001,1.0,1.0,1.0,1.0
