dataset,center,features,n_samples,perplexity,k,trustworthiness,continuity,locals_path
./test/center1/features100.csv,1,100,5000,30.0,30,0.6130717973559391,0.6559528509435866,
./test/center1/features12.csv,1,12,5000,30.0,30,0.8548405543781747,0.770459841894574,
./test/center1/features17.csv,1,17,5000,30.0,30,0.7914329666633027,0.7366246779022438,
./test/center1/features2.csv,1,2,5000,30.0,30,0.9992531543714469,0.9875364147071687,
./test/center1/features22.csv,1,22,5000,30.0,30,0.7569188898980724,0.7126948215427051,
./test/center1/features27.csv,1,27,5000,30.0,30,0.7242423978201635,0.702344021260134,
./test/center1/features32.csv,1,32,5000,30.0,30,0.7029854489184916,0.6913270266088067,
./test/center1/features37.csv,1,37,5000,30.0,30,0.6913716755811216,0.6854049638375888,
./test/center1/features42.csv,1,42,5000,30.0,30,0.6756450109328219,0.6745785851246341,
./test/center1/features47.csv,1,47,5000,30.0,30,0.6673921781545396,0.6719904315941736,
./test/center1/features50.csv,1,50,5000,30.0,30,0.6548210004373128,0.6699866868503381,
./test/center1/features60.csv,1,60,5000,30.0,30,0.6466717448783933,0.6641828721364417,
./test/center1/features7.csv,1,7,5000,30.0,30,0.9260477438019309,0.8434797873986613,
./test/center1/features70.csv,1,70,5000,30.0,30,0.6355794543680828,0.6622685020351868,
./test/center1/features80.csv,1,80,5000,30.0,30,0.6254718000470951,0.6597235442526995,
./test/center1/features90.csv,1,90,5000,30.0,30,0.618454732734551,0.6546650317892825,
./test/center2/features100.csv,2,100,5000,30.0,30,0.810819956268712,0.8306562653480003,
./test/center2/features12.csv,2,12,5000,30.0,30,0.9176179311736805,0.8720853836579541,
./test/center2/features17.csv,2,17,5000,30.0,30,0.8952628734820197,0.8582067803680158,
./test/center2/features2.csv,2,2,5000,30.0,30,0.9992313909913546,0.9956296794160193,
./test/center2/features22.csv,2,22,5000,30.0,30,0.8752545914488512,0.8483359033874928,
./test/center2/features27.csv,2,27,5000,30.0,30,0.8639647189423757,0.8460379291553134,
./test/center2/features32.csv,2,32,5000,30.0,30,0.85503997174286,0.8397662582837152,
./test/center2/features37.csv,2,37,5000,30.0,30,0.8444294533588993,0.8378236862111884,
./test/center2/features42.csv,2,42,5000,30.0,30,0.8397969253540553,0.8355391354660747,
./test/center2/features47.csv,2,47,5000,30.0,30,0.8333437871295455,0.8345373848689742,
./test/center2/features50.csv,2,50,5000,30.0,30,0.8325055309987555,0.8341639923302048,
./test/center2/features60.csv,2,60,5000,30.0,30,0.8247361792310023,0.8333274275910789,
./test/center2/features7.csv,2,7,5000,30.0,30,0.9603574730043394,0.9039310404682612,
